did,syd,primary
1,38,
1,68,
1,106,
1,171,
1,172,
2,12,
2,18,
2,25,
2,48,
2,67,
2,82,
2,88,2
2,93,
2,124,
2,188,
3,1,
3,2,
3,6,
3,11,
3,13,
3,29,
3,33,
3,44,
3,79,
3,90,
3,174,1
4,5,
4,6,
4,22,
4,43,
4,34,
4,37,
4,45,
4,46,
4,54,
4,73,
4,116,
4,157,
4,180,
4,191,
5,6,
5,10,
5,14,
5,67,
5,91,
5,110,
5,173,
5,175,
5,176,1
5,179,
6,18,
6,35,
6,66,
6,70,
6,74,
6,77,
6,78,
6,35,
6,108,
6,109,
6,160,
6,164,
6,166,
6,170,
6,187,
6,189,
7,9,
7,18,
7,173,
7,185,
7,190,
8,3,
8,8,
8,47,
8,87,
8,105,
8,107,
8,109,
8,113,
8,118,
8,123,
8,133,
8,166,
8,181,
8,184,
9,63,
9,156,
9,26,
9,106,1
10,30,
10,48,
10,56,
10,78,
10,82,
10,87,
10,93,
10,101,
10,115,
10,123,
10,129,
10,133,
10,137,
10,146,
10,151,
10,152,
10,161,
10,162,
10,163,
10,164,
10,168,
10,169,
10,170,
10,181,
10,183,
10,188,
10,193,1
11,19,
11,40,
11,53,
11,57,
11,181,
11,183,
11,193,1
12,13,
12,33,
12,60,
12,75,
12,49,
12,139,
12,174,
13,54,
13,55,
13,72,
14,1,
14,2,
14,60,
14,37,
15,155,
15,130,
15,59,
15,183,
15,187,
15,87,
15,192,
16,56,
16,66,
16,80,
16,82,
16,85,
16,111,
17,4,
17,12,
17,18,
17,25,
17,66,
17,70,
17,80,
17,85,
17,108,
17,110,
17,155,
17,183,
17,188,
18,13,
18,16,
18,39,
18,47,
18,57,
18,82,
18,88,
18,123,
18,127,
18,130,
18,134,
18,136,
18,172,
19,7,
19,52,
19,87,
19,107,
19,119,
19,129,
20,11,
20,26,1
20,155,
20,26,
20,118,
21,11,
21,12,
21,18,
21,26,
21,48,
21,54,
21,35,
21,186,
22,18,
22,23,
22,35,1
22,41,
22,53,
22,54,
22,70,
22,77,
22,78,
22,79,
22,122,
22,128,
22,131,
22,164,
22,192,
23,7,
23,103,2
23,26,
23,122,
24,2,
24,6,
24,29,
24,30,
24,33,
24,40,
24,44,1
24,58,
24,64,
24,79,
24,100,
24,174,
24,180,
24,181,
26,10,
26,11,
26,14,
26,26,
26,29,
26,67,
26,117,
26,159,
26,173,
26,175,
26,176,
26,179,
27,57,
27,75,
27,130,
27,139,
27,140,
27,184,
28,2,
28,6,
28,12,
28,18,
28,35,
28,183,
30,5,
30,6,
30,22,
30,34,
30,43,
30,46,
30,47,
30,83,
30,127,
30,143,
30,153,
30,157,
32,2,
32,42,
32,58,
32,61,
32,76,
32,182,
33,14,
33,20,
33,21,
33,23,
33,24,
33,26,
33,35,
33,63,
33,67,
33,68,1
33,69,
33,84,
33,156,
35,8,
35,11,
35,14,
35,21,
35,26,
35,35,
35,38,
35,67,
35,69,
35,79,
35,84,
35,112,
35,117,
35,171,
36,14,
36,26,
36,82,
36,93,
36,155,
37,14,
37,17,
37,26,
37,35,
38,33,
38,58,
38,61,
39,14,
39,106,
39,175,
39,176,
39,179,
40,51,
40,106,
41,2,
41,17,
41,18,
41,26,
41,50,
41,66,
41,87,
41,87,
41,92,
41,119,
41,160,
41,166,
41,174,
42,62,
42,108,
42,120,
42,125,
42,137,
42,146,
42,147,
42,148,
42,149,
42,150,
42,151,
42,152,
43,34,
43,42,
43,62,
43,126,
43,135,
43,137,
43,146,
43,147,
43,148,
43,149,
43,150,
43,151,
43,152,
43,158,
43,172,
44,62,
44,102,
45,43,
45,59,
45,124,
46,32,
46,42,
46,62,
46,99,1
46,126,
46,137,
46,146,
46,147,
46,148,
46,149,
46,150,
46,151,
46,152,
46,154,
46,178,
47,12,
47,96,
47,160,
47,166,
47,188,
49,139,
49,130,
50,35,
50,112,
50,111,
50,26,
50,189,
51,11,
51,43,1
51,26,1
52,168,
52,169,
53,181,
53,183,
53,193,
54,28,
54,60,
54,75,
54,76,
54,82,
55,26,
55,53,
55,82,
55,118,
55,174,
56,51,
56,111,
57,7,
57,51,
57,53,
57,82,
57,107,
57,172,
58,67,
58,82,
58,111,
58,141,
58,160,
58,173,
58,174,
59,70,
59,85,
59,111,
